Theorem,Statement,Proof
2.9,"Suppose $X$ and $Y$ are topological vector spaces, $K$ is a compact convex set in $X, \Gamma$ is a collection of continuous linear mappings of $X$
into $Y$, and the orbits

$$
\Gamma(x)=\{\Lambda x: \Lambda \in \Gamma\}
$$

are bounded subsets of $Y$, for every $x \in K$.

Then there is a bounded set $B \subset Y$ such that $\Lambda(K) \subset B$ for every $\Lambda \in \Gamma$.","Let $B$ be the union of all sets $\Gamma(x)$, for $x \in K$. Pick balanced neighborhoods $W$ and $U$ of 0 in $Y$ such that $\bar{U}+\bar{U} \subset W$. Put

$$
E=\bigcap_{\Lambda \in \Gamma} \Lambda^{-1}(\bar{U})
$$

If $x \in K$, then $\Gamma(x) \subset n U$ for some $n$, so that $x \in n E$. Consequently,

$$
K=\bigcup_{n=1}^{\infty}(K \cap n E)
$$

Since $E$ is closed, Baire's theorem shows that $K \cap n E$ has nonempty interior (relative to $K$ ) for at least one $n$.

We fix such an $n$, we fix an interior point $x_{0}$ of $K \cap n E$, we fix a balanced neighborhood $V$ of 0 in $X$ such that

$$
K \cap\left(x_{0}+V\right) \subset n E,
$$

and we fix a $p>1$ such that

$$
K \subset x_{0}+p V
$$

Such a $p$ exists since $K$ is compact.

If now $x$ is any point of $K$ and

$$
z=\left(1-p^{-1}\right) x_{0}+p^{-1} x
$$

then $z \in K$, since $K$ is convex. Also,

$$
z-x_{0}=p^{-1}\left(x-x_{0}\right) \in V
$$

by (4). Hence $z \in n E$, by (3). Since $\Lambda(n E) \subset n \bar{U}$ for every $\Lambda \in \Gamma$ and since $x=p z-(p-1) x_{0}$, we have

$$
\Lambda x \in p n \bar{U}-(p-1) n \bar{U} \subset p n(\bar{U}+\bar{U}) \subset p n W
$$

Thus $B \subset p n W$, which proves that $B$ is bounded."
12.44,"If $U \in \mathscr{B}(H)$ is unitary and $x \in H$, then the averages

$$
A_{n} x=\frac{1}{n}\left(x+U x+\cdots+U^{n-1} x\right)
$$

converge, in the norm topology of $H$, to some $y \in H$.","Let $E$ be the spectral decomposition of $U$. Define functions $a_{n}$ and $b$ on the unit circle by

$$
a_{n}(\lambda)=\frac{1}{n}\left(1+\lambda+\cdots+\lambda^{n-1}\right)
$$

$b(1)=1, b(\lambda)=0$ for $\lambda \neq 1$.

Then $A_{n} x=a_{n}(U) x$. Set $y=b(U) x$. This gives

$$
\left\|y-A_{n} x\right\|^{2}=\left\|b(U) x-a_{n}(U) x\right\|^{2}=\int_{\sigma(U)}\left|b-a_{n}\right|^{2} d E_{x, x}
$$

Since $\left|b-a_{n}\right|<1$ on the unit circle, and $\left(b-a_{n}\right)(\lambda) \rightarrow 0$ pointwise, the dominated convergence theorem shows that

$$
\lim _{n \rightarrow \infty}\left\|y-A_{n} x\right\|=0 \text {. }
$$"
12.7,"If $T \in \mathscr{B}(H)$ and if $(T x, x)=0$ for every $x \in H$, then $T=0$.","Since $(T(x+y), x+y)=0$, we see that

$$
(T x, y)+(T y, x)=0 \quad(x \in H, y \in H)
$$

If $y$ is replaced by $i y$ in (1), the result is

$$
-i(T x, y)+i(T y, x)=0 \quad(x \in H, y \in H)
$$

Multiply (2) by $i$ and add to (1), to obtain

$$
(T x, y)=0 \quad(x \in H, y \in H)
$$

With $y=T x$, (3) gives $\|T x\|^{2}=0$. Hence $T x=0$."
6.17,"Suppose $\Lambda_{i} \in \mathscr{D}^{\prime}(\Omega)$ for $i=1,2,3, \ldots$, and

$$
\Lambda \phi=\lim _{i \rightarrow \infty} \Lambda_{i} \phi
$$

exists (as a complex number) for every $\phi \in \mathscr{D}(\Omega)$. Then $\Lambda \in \mathscr{D}^{\prime}(\Omega)$, and

$$
D^{\alpha} \Lambda_{i} \rightarrow D^{\alpha} \Lambda \text { in } \mathscr{D}^{\prime}(\Omega)
$$

for every multi-index $\alpha$.","Let $K$ be an arbitrary compact subset of $\Omega$. Since (1) holds for every $\phi \in \mathscr{D}_{K}$, and since $\mathscr{D}_{K}$ is a Fr\'echet space, the Banach-Steinhaus theorem 2.8 implies that the restriction of $\Lambda$ to $\mathscr{D}_{K}$ is continuous. It follows from Theorem 6.6 that $\Lambda$ is continuous on $\mathscr{D}(\Omega)$; in other words, $\Lambda \in \mathscr{D}^{\prime}(\Omega)$. Consequently (1) implies that

$$
\begin{aligned}
\left(D^{\alpha} \Lambda\right)(\phi) & =(-1)^{|\alpha|} \Lambda\left(D^{\alpha} \phi\right) \\
& =(-1)^{|\alpha|} \lim _{i \rightarrow \infty} \Lambda_{i}\left(D^{\alpha} \phi\right)=\lim _{i \rightarrow \infty}\left(D^{\alpha} \Lambda_{i}\right)(\phi)
\end{aligned}
$$"
6.18,"If $\Lambda_{i} \rightarrow \Lambda$ in $\mathscr{D}^{\prime}(\Omega)$ and $g_{i} \rightarrow g$ in $C^{\infty}(\Omega)$, then $g_{i} \Lambda_{i} \rightarrow g \Lambda$ in $\mathscr{D}^{\prime}(\Omega)$.","Fix $\phi \in \mathscr{D}(\Omega)$. Define a bilinear functional $B$ on $C^{\infty}(\Omega) \times \mathscr{D}^{\prime}(\Omega)$ by

$$
B(g, \Lambda)=(g \Lambda)(\phi)=\Lambda(g \phi)
$$

Then $B$ is separately continuous, and Theorem 2.17 implies that

$$
B\left(g_{i}, \Lambda_{i}\right) \rightarrow B(g, \Lambda) \quad \text { as } i \rightarrow \infty
$$

Hence

$$
\left(g_{i} \Lambda_{i}\right)(\phi) \rightarrow(g \Lambda)(\phi)
$$"
12.33,"Every positive $T \in \mathscr{B}(H)$ has a unique positive square root $S \in \mathscr{B}(H)$. If $T$ is invertible, so is $S$.","Let $A$ be any closed normal subalgebra of $\mathscr{B}(H)$ that contains $I$ and $T$, and let $\Delta$ be the maximal ideal space of $A$. By Theorem 11.18, $\hat{A}=C(\Delta)$. Since $T$ satisfies condition $(b)$ of Theorem 12.32, and since $\sigma(T)=\widehat{T}(\Delta)$, we see that $\hat{T} \geq 0$. Since every nonnegative continuous function has a unique nonnegative continuous square root, it follows that there is a unique $S \in A$ that satisfies $S^{2}=T$ and $\hat{S} \geq 0$; by Theorem 12.32, $\hat{S} \geq 0$ is equivalent to $S \geq 0$.

In particular, let $A_{0}$ be the smallest of these algebras $A$. Then there exists $S_{0} \in A_{0}$ such that $S_{0}^{2}=T$ and $S_{0} \geq 0$. If $S \in \mathscr{B}(H)$ is any positive square root of $T$, let $A$ be the smallest closed subalgebra of $\mathscr{B}(H)$ that contains $I$ and $S$. Then $T \in A$, since $T=S^{2}$. Hence $A_{0} \subset A$, so that $S_{0} \in A$. The conclusion of the preceding paragraph shows now that $S=S_{0}$.

Finally, if $T$ is invertible, then $S^{-1}=T^{-1} S$, since $S$ commutes with $S^{2}=T$."
11.23,"Suppose $A$ is a Banach algebra, $x \in A, y \in A$, and $x y=y x$. Then

$$
\sigma(x+y) \subset \sigma(x)+\sigma(y) \quad \text { and } \quad \sigma(x y) \subset \sigma(x) \sigma(y) .
$$","Put $S=\{x, y\}$; put $B=\Gamma(\Gamma(S))$. Then $x+y \in B, x y \in B$, and Theorem 11.22 shows that we have to prove that

$$
\sigma_{B}(x+y) \subset \sigma_{B}(x)+\sigma_{B}(y) \quad \text { and } \quad \sigma_{B}(x y) \subset \sigma_{B}(x) \sigma_{B}(y) .
$$

Since $B$ is commutative, $\sigma_{B}(z)$ is the range of the Gelfand transform $\hat{z}$, for every $z \in B$. (The Gelfand transforms are now functions on the maximal ideal space of $B$.) Since

$$
(x+y)^{\wedge}=\hat{x}+\hat{y} \quad \text { and } \quad(x y)^{\wedge}=\hat{x} \hat{y}
$$

we have the desired conclusion."
11.12 (a),"Suppose $A$ is a commutative Banach algebra: The Gelfand transform is an isometry (that is, $\|x\| = \|\hat{x}\|_{\infty}$ for every $x \in A$) if and only if $\|x^2\| = \|x\|^2$ for every $x \in A$.","In the terminology of Lemma 11.11, the Gelfand transform is an isometry if and only if $s=1$, which happens (by the lemma) if and only if $r=1$."
11.12 (b),Suppose $A$ is a commutative Banach algebra: $A$ is semisimple and $\hat{A}$ is closed in $C(\Delta)$ if and only if there exists $K < \infty$ such that $\|x\|^2 \leq K\|x^2\|$ for every $x \in A$.,"The existence of $K$ is equivalent to $r>0$, hence to $s>0$, by the lemma. If $s>0$, then $x \rightarrow \hat{x}$ is one-to-one and has a continuous inverse, so that $\hat{A}$ is complete (hence closed) in $C(\Delta)$. Conversely, if $x \rightarrow \hat{x}$ is one-to-one and if $\hat{A}$ is closed in $C(\Delta)$, the open mapping theorem implies that $s>0$."
12.32 (a),"Suppose $T \in \mathscr{B}(H)$. Then $(T x, x) \geq 0$ for every $x \in H$ if and only if $T=T^{*}$ and $\sigma(T) \subset[0, \infty)$","In general, $(T x, x)$ and $(x, T x)$ are complex conjugates of each other. But if $(a)$ holds, then $(T x, x)$ is real, so that

$$
\left(x, T^{*} x\right)=(T x, x)=(x, T x)
$$

for every $x \in H$. By Theorem 12.7, $T=T^{*}$, and thus $\sigma(T)$ lies in the real axis (Theorem 12.15). If $\lambda>0,(a)$ implies that

$$
\lambda\|x\|^{2}=(\lambda x, x) \leq((T+\lambda I) x, x) \leq\|(T+\lambda I) x\|\|x\|,
$$

so that

$$
\|(T+\lambda I) x\| \geq \lambda\|x\| .
$$

By Theorem 12.12(c), $T+\lambda I$ is invertible in $\mathscr{B}(H)$, and $-\lambda$ is not in $\sigma(T)$. It follows that $(a)$ implies $(b)$.

Assume now that $(b)$ holds, and let $E$ be the spectral decomposition of $T$, so that

$$
(T x, x)=\int_{\sigma(T)} \lambda d E_{x, x}(\lambda) \quad(x \in H)
$$

Since each $E_{x, x}$ is a positive measure, and since $\lambda \geq 0$ on $\sigma(T)$, we have $(T x, x) \geq 0$. Thus $(b)$ implies $(a)$."
12.4,"If $M$ is a closed subspace of $H$, then

$$
H=M \oplus M^{\perp} .
$$

The conclusion is, more explicitly, that $M$ and $M^{\perp}$ are closed subspaces of $H$ whose intersection is $\{0\}$ and whose sum is $H$. The space $M^{\perp}$ is called the orthogonal complement of $M$.","If $E \subset H$, the linearity of $(x, y)$ as a function of $x$ shows that $E^{\perp}$ is a subspace of $H$, and the Schwarz inequality (1) of Theorem 12.2 implies then that $E^{\perp}$ is closed.

If $x \in M$ and $x \in M^{\perp}$, then $(x, x)=0$; hence $x=0$. Thus $M \cap M^{\perp}=\{0\}$.

If $x \in H$, apply Theorem 12.3 to the set $x-M$ to conclude that there exists $x_{1} \in M$ that minimizes $\left\|x-x_{1}\right\|$. Put $x_{2}=x-x_{1}$. Then $\left\|x_{2}\right\| \leq\left\|x_{2}+y\right\|$ for all $y \in M$. Hence $x_{2} \in M^{\perp}$, by Theorem 12.2. Since $x=x_{1}+x_{2}$, we have shown that $M+M^{\perp}=H$."
11.9 (a),Let $\Delta$ be the maximal ideal space of a commutative Banach algebra $A$: $\Delta$ is a compact Hausdorff space.,
11.9 (b),"Let $\Delta$ be the maximal ideal space of a commutative Banach algebra $A$: The Gelfand transform is a homomorphism of A onto a subalgebra $\hat{A}$ of $C(\Delta)$, whose kernel is $\mathrm{rad} A$. The Gelfand transform is therefore on isomorphism if and only if $A$ is semisimple.","Suppose $x \in A, y \in A, \alpha \in \not \subset, h \in \Delta$. Then

$$
\begin{aligned}
(\alpha x)^{\wedge}(h) & =h(\alpha x)=\alpha h(x)=(\alpha \hat{x})(h) \\
(x+y)^{\wedge}(h)=h(x+y) & =h(x)+h(y)=\hat{x}(h)+\hat{y}(h)=(\hat{x}+\hat{y})(h)
\end{aligned}
$$

and

$$
(x y)^{\wedge}(h)=h(x y)=h(x) h(y)=\hat{x}(h) \hat{y}(h)=(\hat{x} \hat{y})(h) .
$$

Thus $x \rightarrow \hat{x}$ is a homomorphism. Its kernel consists of those $x \in A$ which satisfy $h(x)=0$ for every $h \in \Delta$; by Theorem 11.5 , this is the intersection of all maximal ideals of $A$, that is, $\operatorname{rad} A$."
11.9 (c),"Let $\Delta$ be the maximal ideal space of a commutative Banach algebra $A$: For each $x \in A$, the range of $\hat{x}$ is the spectrum $\sigma(x)$. Hence

$$
\|\hat{x}\|_{\infty}=\rho(x) \leq\|x\|,
$$

where $\|\hat{x}\|_{\infty}$ is the maximum of $|\hat{x}(h)|$ on $\Delta$, and $x \in \operatorname{rad} A$ if and only if $\rho(x)=0$.","To say that $\lambda$ is in the range of $\hat{x}$ means that $\lambda=\hat{x}(h)=h(x)$ for some $h \in \Delta$. By $(e)$ of Theorem 11.5, this happens if and only if $\lambda \in \sigma(x)$. This proves $(b)$ and $(c)$."
5.9,"Suppose $Y$ is a closed subspace of $C(S), K$ is a compact subset of $S$, and $|\mu|(K)=0$ for every $\mu \in Y^{\perp}$. If $g \in C(K)$ and $|g|<1$, it follows that there exists $f \in Y$ such that $\left.f\right|_{K}=g$ and $|f|<1$ on $S$.","Let $\rho: Y \rightarrow C(K)$ be the restriction map defined by $\rho f=\left.f\right|_{K}$. We have to prove that $\rho$ maps the open unit ball of $Y$ onto the open unit ball of $C(K)$.

Consider the adjoint $\rho^{*}: M(K) \rightarrow Y^{*}$, where $M(K)=C(K)^{*}$ is the Banach space of all regular complex Borel measures on $K$, with the total variation norm $\|\mu\|=|\mu|(K)$. For each $\mu \in M(K), \rho^{*} \mu$ is a bounded linear functional on $Y$; by the Hahn-Banach theorem, $\rho^{*} \mu$ extends to a linear functional on $C(S)$, of the same norm. In other words, there exists $\sigma \in M(S)$, with $\|\sigma\|=\left\|\rho^{*} \mu\right\|$, such that

$$
\int_{S} f d \sigma=\left\langle f, \rho^{*} \mu\right\rangle=\langle\rho f, \mu\rangle=\int_{K} f d \mu
$$

for every $f \in Y$. Regard $\mu$ as a member of $M(S)$, with support in $K$. Then $\sigma-\mu \in Y^{\perp}$, and our hypothesis about $K$ implies that $\sigma(E)=\mu(E)$ for every Borel set $E \subset K$. Hence $\|\mu\| \leq\|\sigma\|$. We conclude that $\|\mu\| \leq\left\|\rho^{*} \mu\right\|$. By (b) of Theorem 4.13 , this inequality proves the theorem.

Note: Since $\left\|\rho^{*}\right\|=\|\rho\| \leq 1$, we also have $\|\sigma\| \leq\|\mu\|$ in the preceding proof. It follows that $\sigma=\mu$. Hence $\rho^{*} \mu$ has a unique norm-preserving extension to $C(S)$."
6.28,"Suppose $\Lambda \in \mathscr{D}^{\prime}(\Omega)$. There exist continuous functions $g_{\alpha}$ in $\Omega$, one for each multi-index $\alpha$, such that

(a) each compact $K \subset \Omega$ intersects the supports of only finitely many $g_{\alpha}$, and

(b) $\Lambda=\sum_{\alpha} D^{\alpha} g_{\alpha}$.

If $\Lambda$ has finite order, then the functions $g_{\alpha}$ can be chosen so that only finitely many are different from 0 .","There are compact cubes $Q_{i}$ and open sets $V_{i}(i=1,2,3, \ldots)$ such that $Q_{i} \subset V_{i} \subset \Omega, \Omega$ is the union of the $Q_{i}$, and no compact subset of $\Omega$ intersects infinitely many $V_{i}$. There exist $\phi_{i} \in \mathscr{D}\left(V_{i}\right)$ such that $\phi_{i}=1$ on $Q_{i}$. Use this sequence $\left\{\phi_{i}\right\}$ to construct a partition of unity $\left\{\psi_{i}\right\}$, as in Theorem 6.20; each $\psi_{i}$ has its support in $V_{i}$.

Theorem 6.27 applies to each $\psi_{i} \Lambda$. It shows that there are finitely many continuous functions $f_{i, \alpha}$ with supports in $V_{i}$, such that

$$
\psi_{i} \Lambda=\sum_{\alpha} D^{\alpha} f_{i, \alpha}
$$

Define

$$
g_{\alpha}=\sum_{i=1}^{\infty} f_{i, \alpha}
$$

These sums are locally finite, in the sense that each compact $K \subset \Omega$ intersects the supports of only finitely many $f_{i, \alpha}$. It follows that each $g_{\alpha}$ is continuous in $\Omega$ and that $(a)$ holds.

Since $\phi=\sum \psi_{i} \phi$, for every $\phi \in \mathscr{D}(\Omega)$, we have $\Lambda=\sum \psi_{i} \Lambda$, and therefore (1) and (2) give (b).

The final assertion follows from Theorem 6.27."
3.13,"Suppose $X$ is a metrizable locally convex space. If $\left\{x_{n}\right\}$ is a sequence in $X$ that converges weakly to some $x \in X$, then there is a sequence $\left\{y_{i}\right\}$ in $X$ such that

(a) each $y_{i}$ is a convex combination of finitely many $x_{n}$, and

(b) $y_{i} \rightarrow x$ originally.","Let $H$ be the convex hull of the set of all $x_{n}$; let $K$ be the weak closure of $H$. Then $x \in K$. By Theorem 3.12, $x$ is also in the original closure of $H$. Since the original topology of $X$ is assumed to be metrizable, it follows that there is a sequence $\left\{y_{i}\right\}$ in $H$ that converges originally to $x$."
3.15,"If $V$ is a neighborhood of 0 in a topological vector space $X$ and if

$$
K=\left\{\Lambda \in X^{*}:|\Lambda x| \leq 1 \quad \text { for every } \quad x \in V\right\}
$$

then $K$ is weak*-compact.","Since neighborhoods of 0 are absorbing, there corresponds to each $x \in X$ a number $\gamma(x)<\infty$ such that $x \in \gamma(x) V$. Hence

$$
|\Lambda x| \leq \gamma(x) \quad(x \in X, \Lambda \in K) .
$$

Let $D_{x}$ be the set of all scalars $\alpha$ such that $|\alpha| \leq \gamma(x)$. Let $\tau$ be the product topology on $P$, the cartesian product of all $D_{x}$, one for each $x \in X$. Since each $D_{x}$ is compact, so is $P$, by Tychonoff's theorem. The elements of $P$ are the functions $f$ on $X$ (linear or not) that satisfy

$$
|f(x)| \leq \gamma(x) \quad(x \in X) .
$$

Thus $K \subset X^{*} \cap P$. It follows that $K$ inherits two topologies: one from $X^{*}$ (its weak*-topology, to which the conclusion of the theorem refers) and the other, $\tau$, from $P$. We will see that

(a) these two topologies coincide on $K$, and

(b) $K$ is a closed subset of $P$.

Since $P$ is compact, $(b)$ implies that $K$ is $\tau$-compact, and then $(a)$ implies that $K$ is weak*-compact."
2.17,"Suppose $B: X \times Y \rightarrow Z$ is bilinear and separately continuous, $X$ is an $F$-space, and $Y$ and $Z$ are topological vector spaces. Then

$$
B\left(x_{n}, y_{n}\right) \rightarrow B\left(x_{0}, y_{0}\right) \text { in } Z
$$

whenever $x_{n} \rightarrow x_{0}$ in $X$ and $y_{n} \rightarrow y_{0}$ in $Y$. If $Y$ is metrizable, it follows that $B$ is continuous.","Let $U$ and $W$ be neighborhoods of 0 in $Z$ such that $U+U \subset W$. Define

$$
b_{n}(x)=B\left(x, y_{n}\right) \quad(x \in X, n=1,2,3, \ldots)
$$

Since $B$ is continuous as a function of $y$,

$$
\lim _{n \rightarrow \infty} b_{n}(x)=B\left(x, y_{0}\right) \quad(x \in X)
$$

Thus $\left\{b_{n}(x)\right\}$ is a bounded subset of $Z$, for each $x \in X$. Since each $b_{n}$ is a continuous linear mapping of the $F$-space $X$, the Banach-Steinhaus theorem 2.6 implies that $\left\{b_{n}\right\}$ is equicontinuous. Hence there is a neighborhood $V$ of 0 in $X$ such that

$$
b_{n}(V) \subset U \quad(n=1,2,3, \ldots)
$$

Note that

$$
B\left(x_{n}, y_{n}\right)-B\left(x_{0}, y_{0}\right)=b_{n}\left(x_{n}-x_{0}\right)+B\left(x_{0}, y_{n}-y_{0}\right)
$$

If $n$ is sufficiently large, then (i) $x_{n} \in x_{0}+V$, so that $b_{n}\left(x_{n}-x_{0}\right) \in U$, and (ii) $B\left(x_{0}, y_{n}-y_{0}\right) \in U$, since $B$ is continuous in $y$ and $B\left(x_{0}, 0\right)=$ 0 . Hence

$$
B\left(x_{n}, y_{n}\right)-B\left(x_{0}, y_{0}\right) \in U+U \subset W
$$

for all large $n$. This gives (1).

If $Y$ is metrizable, so is $X \times Y$, and the continuity of $B$ then follows from (1). (See Appendix A6.)"
12.31 (a),Suppose $T \in \mathscr{B}(H)$ is normal and compact: $T$ has an eigenvalue $\lambda$ with $|\lambda|=\|T\|$,"Since $T$ is normal, Theorem 11.18 shows that there exists $\lambda \in \sigma(T)$ with $|\lambda|=\|T\|$. If $\|T\|>0$, this $\lambda$ is an isolated point of $\sigma(T)$ (Theorem 12.30), hence an eigenvalue of $T$ (Theorem 12.29). If $\|T\|=0,(a)$ is obvious."
12.31 (b),"Suppose $T \in \mathscr{B}(H)$ is normal and compact, and $f \in C(\sigma(T))$ and $f(0)=0$: $f(T)$ is compact","

To prove $(b)$, choose $\varepsilon>0$, then $\delta>0$ so that $|f(\lambda)|<\varepsilon$ if $|\lambda| \leq \delta$; let $\lambda_{1}, \ldots, \lambda_{N}$ be the points in $\sigma(T)$ for which $\left|\lambda_{i}\right|>\delta$; find polynomials $Q_{k}(1 \leq k \leq N)$ so that $Q_{k}\left(\lambda_{k}\right)=1, Q_{k}\left(\lambda_{j}\right)=0$ for $j \neq k$, $1 \leq j \leq N$; and define

$$
P(\lambda)=\sum_{k=1}^{N} f\left(\lambda_{k}\right)\left(\lambda / \lambda_{k}\right)^{M} Q_{k}(\lambda)
$$

where $M$ is a positive integer, so large that $|P(\lambda)|<\varepsilon$ if $|\lambda| \leq \delta$. The polynomial $P$ has $\lambda$ as a factor. Hence $P(T)$ is a compact operator, by $(f)$ of Theorem 4.18. Also, $P\left(\lambda_{j}\right)=f\left(\lambda_{j}\right)$ for $1 \leq j \leq N$. It follows that $|P(\lambda)-f(\lambda)|<2 \varepsilon$ for all $\lambda \in $\sigma(T)$. Hence $\|P(T)-f(T)\|<2 \varepsilon$, and $(c)$ of Theorem 4.18 implies that $f(T)$ is compact."
12.31 (c),"Suppose $T \in \mathscr{B}(H)$ is normal and compact, and $f \in C(\sigma(T)), f(0) \neq 0$, and $\operatorname{dim} H=\infty$: $f(T)$ is not compact","

In the proof of $(c)$, assume $f(0)=1$, without loss of generality. Then $(b)$, applied to $1-f$, shows that the operator $S=I-f(T)$ is compact. Let $B$ be the unit ball of $H$. Then

$$
B \subset S(B)+f(T)(B)
$$

If $f(T)$ were compact, it would follow that $B$ lies in the sum of two compact sets; hence $H$ would be locally compact, hence finitedimensional, contrary to our hypothesis."
2.7 (a),"Suppose $X$ and $Y$ are topological vector spaces, and $\left\{\Lambda_{n}\right\}$ is a sequence of continuous linear mappings of $X$ into $Y$. If $C$ is the set of all $x \in X$ for which $\left\{\Lambda_{n} x\right\}$ is a Cauchy sequence in $Y$, and if $C$ is of the second category in $X$, then $C=X$.","Since Cauchy sequences are bounded (Section 1.29), the Banach-Steinhaus theorem asserts that $\left\{\Lambda_{n}\right\}$ is equicontinuous.

One checks easily that $C$ is a subspace of $X$. Hence $C$ is dense. (Otherwise, $\bar{C}$ is a proper subspace of $X$; proper subspaces have empty interior; thus $\bar{C}$ would be of the first category.)

Fix $x \in X$; let $W$ be a neighborhood of 0 in $Y$. Since $\left\{\Lambda_{n}\right\}$ is equicontinuous, there is a neighborhood $V$ of 0 in $X$ such that $\Lambda_{n}(V) \subset W$ for $n=1,2,3, \ldots$. Since $C$ is dense, there exists $x^{\prime} \in C \cap(x+V)$. If $n$ and $m$ are so large that

$$
\Lambda_{n} x^{\prime}-\Lambda_{m} x^{\prime} \in W
$$

the identity

$$
\left(\Lambda_{n}-\Lambda_{m}\right) x=\Lambda_{n}\left(x-x^{\prime}\right)+\left(\Lambda_{n}-\Lambda_{m}\right) x^{\prime}+\Lambda_{m}\left(x^{\prime}-x\right)
$$

shows that $\Lambda_{n} x-\Lambda_{m} x \in W+W+W$. Consequently, $\left\{\Lambda_{n} x\right\}$ is a Cauchy sequence in $Y$, and $x \in C$."
2.7 (b),"Suppose $X$ and $Y$ are topological vector spaces, and $\left\{\Lambda_{n}\right\}$ is a sequence of continuous linear mappings of $X$ into $Y$. If $L$ is the set of all $x \in X$ at which

$$
\Lambda x=\lim _{n \rightarrow \infty} \Lambda_{n} x
$$

exists, if $L$ is of the second category in $X$, and if $Y$ is an $F$-space, then $L=X$ and $\Lambda: X \rightarrow Y$ is continuous.","The completeness of $Y$ implies that $L=C$. Hence $L=X$, by (a). If $V$ and $W$ are as above, the inclusion $\Lambda_{n}(V) \subset W$, valid for all $n$, implies now that $\Lambda(V) \subset \bar{W}$. Thus $\Lambda$ is continuous."
4.4,"If $X$ and $Y$ are normed spaces and if $\Lambda \in \mathscr{B}(X, Y)$, then

$$
\|\Lambda\|=\sup \left\{\left|\left\langle\Lambda x, y^{*}\right\rangle\right|:\|x\| \leq 1,\left\|y^{*}\right\| \leq 1\right\}
$$","Apply $(b)$ of Theorem 4.3 with $Y$ in place of $X$. This gives

$$
\|\Lambda x\|=\sup \left\{\left|\left\langle\Lambda x, y^{*}\right\rangle\right|:\left\|y^{*}\right\| \leq 1\right\}
$$

for every $x \in X$. To complete the proof, recall that

$$
\|\Lambda\|=\sup \{\|\Lambda x\|:\|x\| \leq 1\} .
$$"
4.7 (a),"Under the preceding hypotheses, ${ }^{\perp}\left(M^{\perp}\right)$ is the norm-closure of $M$ in $X$, and","If $x \in M$, then $\left\langle x, x^{*}\right\rangle=0$ for every $x^{*} \in M^{\perp}$, so that $x \in{ }^{\perp}\left(M^{\perp}\right)$. Since ${ }^{\perp}\left(M^{\perp}\right)$ is norm-closed, it contains the norm-closure $\bar{M}$ of $M$. On the other hand, if $x \notin \bar{M}$ the Hahn-Banach theorem yields an $x^{*} \in M^{\perp}$ such that $\left\langle x, x^{*}\right\rangle \neq 0$. Thus $x \notin^{\perp}\left(M^{\perp}\right)$, and $(a)$ is proved."
4.7 (b),"Under the preceding hypotheses, $\left({ }^{\perp} N\right)^{\perp}$ is the weak*-closure of $N$ in $X^{*}$","Similarly, if $x^{*} \in N$, then $\left\langle x, x^{*}\right\rangle=0$ for every $x \in{ }^{\perp} N$, so that $x^{*} \in\left({ }^{\perp} N\right)^{\perp}$. This weak*-closed subspace of $X^{*}$ contains the weak*closure $\tilde{N}$ of $N$. If $x^{*} \notin \tilde{N}$, the Hahn-Banach theorem (applied to the locally convex space $X^{*}$ with its weak*-topology) implies the existence of an $x \in{ }^{\perp} N$ such that $\left\langle x, x^{*}\right\rangle \neq 0$; thus $x^{*} \notin\left({ }^{\perp} N\right)^{\perp}$, which proves $(b)$."
11.10,"If $\psi: A \rightarrow B$ is a homomorphism of a Banach algebra $A$ into a semisimple commutative Banach algebra $B$, then $\psi$ is continuous.","Suppose $x_{n} \rightarrow x$ in $A$ and $\psi\left(x_{n}\right) \rightarrow y$ in $B$. By the closed graph theorem, it is enough to show that $y=\psi(x)$.

Pick some homomorphism $h: B \rightarrow \mathscr{C}$. Then $\varphi=h \circ \psi$ is a homomorphism of $A$ into $\mathscr{C}$. Theorem 10.7 shows that $h$ and $\varphi$ are continuous. Hence

$$
h(y)=\lim h\left(\psi\left(x_{n}\right)\right)=\lim \varphi\left(x_{n}\right)=\varphi(x)=h(\psi(x))
$$

for every $h \in \Delta_{B}$. Thus $y-\psi(x) \in \operatorname{rad} B$. Since $\operatorname{rad} B=\{0\}, y=\psi(x)$."
11.11,"If $A$ is a commutative Banach algebra and

$$
r=\inf \frac{\left\|x^{2}\right\|}{\|x\|^{2}}, \quad s=\inf \frac{\|\hat{x}\|_{\infty}}{\|x\|} \quad(x \in A, x \neq 0)
$$

then $s^{2} \leq r \leq s$.","Since $\|\hat{x}\|_{\infty} \geq s\|x\|$,

$$
\left\|x^{2}\right\| \geq\left\|\hat{x}^{2}\right\|_{\infty}=\|\hat{x}\|_{\infty}^{2} \geq s^{2}\|x\|^{2}
$$

for every $x \in A$. Thus $s^{2} \leq r$.

Since $\left\|x^{2}\right\| \geq r\|x\|^{2}$ for every $x \in A$, induction on $n$ shows that

$$
\left\|x^{m}\right\| \geq r^{m-1}\|x\|^{m} \quad\left(m=2^{n}, n=1,2,3, \ldots\right)
$$

Take $m$ th roots in (3) and let $m \rightarrow \infty$. By the spectral radius formula and $(c)$ of Theorem 11.9,

$$
\|\hat{x}\|_{\infty}=\rho(x) \geq r\|x\| \quad(x \in A) .
$$

Hence $r \leq s$."
